Maldives,MDV,25.8721817536855
Middle East & North Africa,MEA,9.1803711992272
Mexico,MEX,0.939364727416811
Marshall Islands,MHL,6.19704489272168
Middle income,MIC,1.35486559158855
"Macedonia, FYR",MKD,6.28977417338761
Mali,MLI,2.06335973795908
Malta,MLT,9.8984880693625
Myanmar,MMR,0.13601460292319
Middle East & North Africa (excluding high income),MNA,3.14801071281816
Montenegro,MNE,13.1900776789324
Mongolia,MNG,0.595444478012824
Northern Mariana Islands,MNP,39.3099691301979
Mozambique,MOZ,0.796801385438194
Mauritania,MRT,3.39667673329787
Mauritius,MUS,2.24510921983142
Malawi,MWI,1.2498117945782
Malaysia,MYS,8.28934891611083
North America,NAC,15.2271585936758
Namibia,NAM,3.81840143482876
New Caledonia,NCL,24.4339041798737
Niger,NER,0.951072208218253
Nigeria,NGA,0.658124087599013
Nicaragua,NIC,0.66198270577991
Netherlands,NLD,11.6956827411211
Norway,NOR,14.2356111639164
Nepal,NPL,1.81764555283951
Nauru,NRU,31.089806300137
New Zealand,NZL,22.95970035283
OECD members,OED,10.0370878213971
Oman,OMN,41.085873617455
Other small states,OSS,14.6531546566041
Pakistan,PAK,1.92084606074688
Panama,PAN,4.70102752739085
Peru,PER,0.289645140800474
Philippines,PHL,0.210390539089137
Palau,PLW,26.6027899112301
Papua New Guinea,PNG,0.338376608624312
Poland,POL,1.60418083655994
Pre-demographic dividend,PRE,1.57001445313003
Puerto Rico,PRI,7.46549639203331
"Korea, Dem. People’s Rep.",PRK,0.192635219027453
Portugal,PRT,8.0895935893659
Paraguay,PRY,2.35666668624757
Pacific island small states,PSS,2.05687487213383
Post-demographic dividend,PST,12.0903523675145
French Polynesia,PYF,10.6300660621578
Qatar,QAT,75.4976278935561
Romania,ROU,1.16313480315329
Russian Federation,RUS,8.11621785991527
Rwanda,RWA,3.80308098441419
South Asia,SAS,0.653007516159785
Saudi Arabia,SAU,32.2949424946542
Sudan,SDN,1.2513445422805
Senegal,SEN,1.73995141736156
Singapore,SGP,45.3917919104027
Solomon Islands,SLB,0.442947201036342
Sierra Leone,SLE,1.41345729487955
El Salvador,SLV,0.686271613393632
San Marino,SMR,14.8422013152513
Somalia,SOM,0.234455883618068
Serbia,SRB,9.12262208400769
Sub-Saharan Africa (excluding high income),SSA,1.86741210281195
South Sudan,SSD,6.67856203968099
Sub-Saharan Africa,SSF,1.86846933554572
Small states,SST,12.0774878057944
Sao Tome and Principe,STP,1.25772285966461
Suriname,SUR,8.62581150145034
Slovak Republic,SVK,3.26541789940692
Slovenia,SVN,11.4129640933173
Sweden,SWE,16.7675587503806
Swaziland,SWZ,2.45374795061268
Sint Maarten (Dutch part),SXM,70.4477997160924
Seychelles,SYC,13.2589068217392
Syrian Arab Republic,SYR,4.73013438841734
Turks and Caicos Islands,TCA,34.0371006727045
Chad,TCD,3.68277137079953
East Asia & Pacific (IDA & IBRD countries),TEA,0.412299055771009
Europe & Central Asia (IDA & IBRD countries),TEC,6.47593328595
Togo,TGO,3.79000676014412
Thailand,THA,5.75823265195895
Tajikistan,TJK,3.24291089626031
Turkmenistan,TKM,3.65471158287463
Latin America & the Caribbean (IDA & IBRD countries),TLA,1.35413267106923
Middle East & North Africa (IDA & IBRD countries),TMN,3.11930225970191
Timor-Leste,TLS,0.914442948601621
Tonga,TON,5.39794668927192
South Asia (IDA & IBRD),TSA,0.653007516159785
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.86846933554572
Trinidad and Tobago,TTO,3.66763032980219
Tunisia,TUN,0.503849717164906
Turkey,TUR,3.76900110251173
Tuvalu,TUV,1.42194433239209
Tanzania,TZA,0.488535530485828
Uganda,UGA,1.92012616805897
Ukraine,UKR,10.7864611551484
Upper middle income,UMC,1.84504606542733
Uruguay,URY,2.09231674852946
United States,USA,14.4906535240608
Uzbekistan,UZB,3.91690323992971
St. Vincent and the Grenadines,VCT,4.18135974128008
"Venezuela, RB",VEN,4.51473657184212
British Virgin Islands,VGB,57.4692034399177
Virgin Islands (U.S.),VIR,53.3638784092727
Vietnam,VNM,0.07789713082094
Vanuatu,VUT,1.20422290404002
West Bank and Gaza,PSE,5.4730397522441
World,WLD,3.32823103002279
Samoa,WSM,2.55087254435175
"Yemen, Rep.",YEM,1.28252922839207
South Africa,ZAF,5.76709044891315
"Congo, Dem. Rep.",COD,0.70624628058302
Zambia,ZMB,0.789025650319302
Zimbabwe,ZWE,2.55638252510727
